PartCondition,AircraftTotalTime
CRACKED,58694.0
CRACKED,58694.0
CRACKED,58694.0
CRACKED,58694.0
CRACKED,58694.0
CRACKED,62487.0
CRACKED,62487.0
CRACKED,33935.0
CRACKED,33935.0
CRACKED,33935.0
CRACKED,62487.0
CORRODED,8579.0
CORRODED,42171.0
CRACKED,62992.0
CORRODED,63810.0
CORRODED,41482.0
CORRODED,8571.0
CORRODED,8571.0
CORRODED,8571.0
CORRODED,8571.0
CORRODED,8571.0
CORRODED,8571.0
CORRODED,8571.0
CORRODED,8571.0
CORRODED,8571.0
CORRODED,8571.0
CORRODED,8571.0
CORRODED,8571.0
CORRODED,8571.0
CORRODED,8571.0
CORRODED,8571.0
CORRODED,8571.0
CORRODED,8571.0
CORRODED,8571.0
CORRODED,7981.0
CORRODED,10525.0
CORRODED,10525.0
CORRODED,10525.0
CORRODED,10525.0
CORRODED,10525.0
CORRODED,10525.0
CORRODED,10525.0
CORRODED,10525.0
CORRODED,10525.0
CORRODED,10525.0
CORRODED,10525.0
CORRODED,10525.0
CORRODED,10525.0
CORRODED,10525.0
CORRODED,10525.0
CORRODED,10525.0
CORRODED,10525.0
CORRODED,10525.0
CORRODED,10525.0
CORRODED,10525.0
CORRODED,10525.0
CORRODED,10525.0
CORRODED,10525.0
CORRODED,10525.0
CORRODED,80231.0
CORRODED,77179.0
CRACKED,68811.0
CRACKED,23473.0
CRACKED,73632.0
CRACKED,18236.0
CRACKED,80609.0
CRACKED,80609.0
CORRODED,70767.0
CRACKED,58618.0
CRACKED,58618.0
CORRODED,70974.0
CRACKED,41482.0
CORRODED,41482.0
CRACKED,27917.0
CRACKED,71860.0
CRACKED,71860.0
CRACKED,71860.0
CRACKED,71860.0
CORRODED,27917.0
CRACKED,71860.0
CORRODED,35293.0
CRACKED,62499.0
CRACKED,62499.0
CRACKED,62499.0
CRACKED,62499.0
CRACKED,62499.0
CRACKED,62499.0
CRACKED,45154.0
CRACKED,45154.0
CRACKED,69455.0
CRACKED,69455.0
CRACKED,69455.0
CRACKED,69455.0
CORRODED,78316.0
CORRODED,52341.0
CORRODED,60395.0
CRACKED,62499.0
CORRODED,48397.0
CORRODED,71926.0
CRACKED,58296.0
CRACKED,58296.0
CRACKED,57980.0
CRACKED,16387.0
CORRODED,60253.0
CORRODED,60253.0
CORRODED,60253.0
